epoch,train_loss,train_accuracy_%,validation_accuracy_%
1,1.3553,66.99,73.56
2,0.9204,87.64,80.1
3,0.7892,93.23,96.98
4,0.6883,97.63,94.05
5,0.7123,96.54,99.61
6,0.6548,98.59,99.12
7,0.6239,99.47,99.32
8,0.6517,98.51,96.88
9,0.6583,98.26,99.41
10,0.6144,99.65,99.9
11,0.6119,99.74,87.22
12,0.6384,99.0,89.46
13,0.6294,99.14,99.22
14,0.6204,99.47,99.61
15,0.6164,99.53,92.98
16,0.5976,99.87,99.8
17,0.605,99.47,99.61
18,0.6011,99.78,99.8
19,0.5919,99.89,99.8
20,0.6164,99.54,95.61
21,0.6308,98.79,99.8
22,0.59,99.96,99.8
23,0.5862,99.99,87.51
24,0.6235,99.08,99.61
25,0.6075,99.71,96.59
26,0.6268,99.19,99.8
27,0.6025,99.68,99.8
28,0.594,99.89,80.98
29,0.6223,99.01,99.9
30,0.5955,99.79,99.51
31,0.5902,99.97,97.37
32,0.6062,99.36,99.51
33,0.5914,99.89,99.8
34,0.5962,99.65,99.9
35,0.5856,100.0,99.9
36,0.5974,99.69,99.8
37,0.5877,99.96,98.34
38,0.6194,99.07,99.61
39,0.6109,99.51,82.54
40,0.6387,98.36,99.51
41,0.5971,99.83,99.8
42,0.5933,99.93,98.24
43,0.6052,99.43,99.71
44,0.5852,99.94,99.8
45,0.5903,99.97,83.8
46,0.6595,97.45,99.9
47,0.5865,99.97,99.9
48,0.5926,99.78,99.8
49,0.5836,99.97,99.9
50,0.6024,99.76,99.61
51,0.6043,99.48,99.9
52,0.5832,99.96,99.9
53,0.5825,99.96,99.9
54,0.5804,99.97,99.9
55,0.5786,100.0,100.0
56,0.5776,100.0,99.9
57,0.5785,99.99,100.0
58,0.5847,99.9,100.0
59,0.5803,99.99,99.9
60,0.5807,99.93,99.9
61,0.5803,100.0,100.0
62,0.5904,99.94,99.9
63,0.5874,99.93,99.9
64,0.5806,100.0,99.61
65,0.6048,99.28,100.0
66,0.5842,99.97,100.0
67,0.5896,99.92,95.41
68,0.591,99.68,98.63
69,0.5929,99.62,99.9
70,0.5831,99.99,99.22
71,0.6033,99.41,99.8
72,0.5817,99.99,99.8
73,0.5906,99.86,99.71
74,0.5867,99.78,99.9
75,0.5808,100.0,99.9
76,0.5786,99.99,99.9
77,0.5774,99.97,100.0
78,0.5847,99.97,96.98
79,0.6129,99.18,99.9
80,0.5911,99.85,99.8
81,0.5877,99.86,99.9
82,0.5799,99.97,99.8
83,0.5867,99.9,99.8
84,0.5845,99.89,99.8
85,0.5775,99.99,99.8
86,0.5768,100.0,99.8
87,0.5778,100.0,99.8
88,0.5862,99.92,99.8
89,0.5975,99.55,98.93
90,0.5949,99.55,99.9
91,0.5792,100.0,99.9
92,0.5776,100.0,100.0
93,0.5757,100.0,99.9
94,0.5757,100.0,100.0
95,0.5761,99.99,99.9
96,0.5783,99.97,99.9
97,0.5878,99.68,99.9
98,0.5754,100.0,99.9
99,0.5779,99.99,99.71
100,0.5784,99.96,99.9
