epoch,train_loss,train_accuracy_%,validation_accuracy_%
1,0.8537,83.3,75.6
2,0.6334,94.82,88.84
3,0.5665,97.96,91.63
4,0.5512,98.34,91.75
5,0.5388,98.69,96.17
6,0.5396,98.66,91.41
7,0.5224,99.1,93.51
8,0.5171,99.56,91.86
9,0.512,99.48,93.06
10,0.5081,99.65,96.78
11,0.5036,99.85,93.8
12,0.5004,99.89,95.85
13,0.5004,99.89,97.0
14,0.4978,99.89,95.83
15,0.5004,99.88,96.84
16,0.4938,100.0,94.9
17,0.4925,100.0,96.69
18,0.5062,99.53,91.05
19,0.5053,99.65,97.09
20,0.4951,99.97,95.94
21,0.5199,99.12,91.36
22,0.5005,99.91,95.36
23,0.5069,99.59,96.37
24,0.4976,99.91,96.41
25,0.4923,99.98,97.0
26,0.4918,100.0,97.2
27,0.4927,99.97,96.3
28,0.4911,99.98,96.39
29,0.4903,100.0,97.0
30,0.4897,100.0,96.41
31,0.4955,99.85,91.32
32,0.5008,99.76,95.13
33,0.4919,99.97,96.17
34,0.4902,100.0,96.48
35,0.4899,100.0,96.37
36,0.4895,100.0,96.14
37,0.5072,99.41,91.0
38,0.5018,99.79,95.65
39,0.502,99.54,96.12
40,0.4907,100.0,95.2
41,0.4901,100.0,97.11
42,0.4906,99.95,93.62
43,0.4906,99.98,95.78
44,0.4892,100.0,96.37
45,0.4888,100.0,96.26
46,0.4885,100.0,96.64
47,0.4885,100.0,96.19
48,0.4938,99.89,94.88
49,0.4893,100.0,96.57
50,0.4888,100.0,96.08

Training CO2: 0.00037898 kg
Testing CO2: 0.00000458 kg
Best Validation Accuracy: 97.20 %

