Modello: cnn

Epoch 1/50 | Loss: 0.8537 | Train: 83.30% | Val: 75.60%
Epoch 2/50 | Loss: 0.6334 | Train: 94.82% | Val: 88.84%
Epoch 3/50 | Loss: 0.5665 | Train: 97.96% | Val: 91.63%
Epoch 4/50 | Loss: 0.5512 | Train: 98.34% | Val: 91.75%
Epoch 5/50 | Loss: 0.5388 | Train: 98.69% | Val: 96.17%
Epoch 6/50 | Loss: 0.5396 | Train: 98.66% | Val: 91.41%
Epoch 7/50 | Loss: 0.5224 | Train: 99.10% | Val: 93.51%
Epoch 8/50 | Loss: 0.5171 | Train: 99.56% | Val: 91.86%
Epoch 9/50 | Loss: 0.5120 | Train: 99.48% | Val: 93.06%
Epoch 10/50 | Loss: 0.5081 | Train: 99.65% | Val: 96.78%
Epoch 11/50 | Loss: 0.5036 | Train: 99.85% | Val: 93.80%
Epoch 12/50 | Loss: 0.5004 | Train: 99.89% | Val: 95.85%
Epoch 13/50 | Loss: 0.5004 | Train: 99.89% | Val: 97.00%
Epoch 14/50 | Loss: 0.4978 | Train: 99.89% | Val: 95.83%
Epoch 15/50 | Loss: 0.5004 | Train: 99.88% | Val: 96.84%
Epoch 16/50 | Loss: 0.4938 | Train: 100.00% | Val: 94.90%
Epoch 17/50 | Loss: 0.4925 | Train: 100.00% | Val: 96.69%
Epoch 18/50 | Loss: 0.5062 | Train: 99.53% | Val: 91.05%
Epoch 19/50 | Loss: 0.5053 | Train: 99.65% | Val: 97.09%
Epoch 20/50 | Loss: 0.4951 | Train: 99.97% | Val: 95.94%
Epoch 21/50 | Loss: 0.5199 | Train: 99.12% | Val: 91.36%
Epoch 22/50 | Loss: 0.5005 | Train: 99.91% | Val: 95.36%
Epoch 23/50 | Loss: 0.5069 | Train: 99.59% | Val: 96.37%
Epoch 24/50 | Loss: 0.4976 | Train: 99.91% | Val: 96.41%
Epoch 25/50 | Loss: 0.4923 | Train: 99.98% | Val: 97.00%
Epoch 26/50 | Loss: 0.4918 | Train: 100.00% | Val: 97.20%
Epoch 27/50 | Loss: 0.4927 | Train: 99.97% | Val: 96.30%
Epoch 28/50 | Loss: 0.4911 | Train: 99.98% | Val: 96.39%
Epoch 29/50 | Loss: 0.4903 | Train: 100.00% | Val: 97.00%
Epoch 30/50 | Loss: 0.4897 | Train: 100.00% | Val: 96.41%
Epoch 31/50 | Loss: 0.4955 | Train: 99.85% | Val: 91.32%
Epoch 32/50 | Loss: 0.5008 | Train: 99.76% | Val: 95.13%
Epoch 33/50 | Loss: 0.4919 | Train: 99.97% | Val: 96.17%
Epoch 34/50 | Loss: 0.4902 | Train: 100.00% | Val: 96.48%
Epoch 35/50 | Loss: 0.4899 | Train: 100.00% | Val: 96.37%
Epoch 36/50 | Loss: 0.4895 | Train: 100.00% | Val: 96.14%
Epoch 37/50 | Loss: 0.5072 | Train: 99.41% | Val: 91.00%
Epoch 38/50 | Loss: 0.5018 | Train: 99.79% | Val: 95.65%
Epoch 39/50 | Loss: 0.5020 | Train: 99.54% | Val: 96.12%
Epoch 40/50 | Loss: 0.4907 | Train: 100.00% | Val: 95.20%
Epoch 41/50 | Loss: 0.4901 | Train: 100.00% | Val: 97.11%
Epoch 42/50 | Loss: 0.4906 | Train: 99.95% | Val: 93.62%
Epoch 43/50 | Loss: 0.4906 | Train: 99.98% | Val: 95.78%
Epoch 44/50 | Loss: 0.4892 | Train: 100.00% | Val: 96.37%
Epoch 45/50 | Loss: 0.4888 | Train: 100.00% | Val: 96.26%
Epoch 46/50 | Loss: 0.4885 | Train: 100.00% | Val: 96.64%
Epoch 47/50 | Loss: 0.4885 | Train: 100.00% | Val: 96.19%
Epoch 48/50 | Loss: 0.4938 | Train: 99.89% | Val: 94.88%
Epoch 49/50 | Loss: 0.4893 | Train: 100.00% | Val: 96.57%
Epoch 50/50 | Loss: 0.4888 | Train: 100.00% | Val: 96.08%
