epoch,train_loss,train_accuracy_%,validation_accuracy_%
1,1.6928,57.37,32.67
2,1.0411,83.37,65.74
3,0.8245,90.7,44.55
4,0.7115,94.59,69.11
5,0.6459,97.1,46.14
6,0.6436,96.98,65.84
7,0.6023,98.68,74.85
8,0.6286,97.73,30.1
9,0.6124,98.44,59.01
10,0.5961,99.07,55.64
11,0.6208,97.82,54.55
12,0.6119,98.27,62.97
13,0.5856,99.43,77.33
14,0.5999,99.04,68.32
15,0.6096,98.27,72.67
16,0.6075,98.5,74.55
17,0.5955,99.07,46.24
18,0.5885,99.34,73.07
19,0.5733,99.79,74.75
20,0.5714,99.97,74.75
21,0.5686,99.94,73.47
22,0.5679,100.0,73.66
23,0.5691,99.94,74.46
24,0.575,99.85,58.71
25,0.6122,98.32,69.8
26,0.5735,99.94,75.35
27,0.583,99.4,72.08
28,0.5744,99.82,72.08
29,0.582,99.49,74.36
30,0.5788,99.55,53.07
31,0.5694,99.94,78.32
32,0.5725,99.85,75.64
33,0.567,100.0,74.75
34,0.5677,99.97,70.3
35,0.5735,99.67,75.84
36,0.5701,99.91,76.44
37,0.5678,99.97,76.73
38,0.5709,99.97,73.47
39,0.6178,98.0,69.01
40,0.572,99.82,53.27
41,0.579,99.55,68.42
42,0.5763,99.76,70.4
43,0.5695,99.91,77.52
44,0.5766,99.82,44.16
45,0.6192,98.41,71.68
46,0.5798,99.58,69.8
47,0.5679,99.97,70.4
48,0.5835,99.34,73.27
49,0.5689,99.97,73.56
50,0.6218,98.06,57.23
51,0.5938,99.01,72.77
52,0.5713,99.94,67.03
53,0.5744,99.67,73.17
54,0.5793,99.46,59.31
55,0.5752,99.76,51.88
56,0.5749,99.67,52.97
57,0.5709,99.85,74.95
58,0.5687,99.94,74.85
59,0.5708,99.91,72.18
60,0.5994,98.86,70.89
61,0.576,99.67,73.66
62,0.5671,100.0,75.64
63,0.566,100.0,75.74
64,0.5716,99.88,73.17
65,0.5689,99.97,75.15
66,0.5665,100.0,73.17
67,0.5657,100.0,73.37
68,0.5663,100.0,75.94
69,0.5664,100.0,75.25
70,0.575,99.58,73.27
71,0.5816,99.67,73.17
72,0.5932,99.16,72.38
73,0.5815,99.7,69.7
74,0.5978,98.89,72.57
75,0.5718,99.94,76.04
76,0.5665,100.0,75.05
77,0.5665,99.97,76.44
78,0.5674,99.97,77.92
79,0.594,98.83,67.13
80,0.5771,99.64,75.35
81,0.5746,99.76,68.02
82,0.577,99.55,72.57
83,0.5663,100.0,76.44
84,0.5661,100.0,75.25
85,0.5668,99.94,77.23
86,0.5715,99.79,75.25
87,0.5715,99.88,75.25
88,0.5677,99.94,74.46
89,0.568,99.91,75.94
90,0.5802,99.85,76.83
91,0.5885,99.16,74.06
92,0.5668,99.97,76.24
93,0.566,100.0,75.84
94,0.5657,100.0,75.94
95,0.5658,100.0,78.12
96,0.5656,100.0,76.04
97,0.5654,100.0,75.54
98,0.5656,100.0,76.34
99,0.5657,100.0,76.34
100,0.5657,100.0,75.35

Training CO2: 0.00111676 kg
Testing CO2: 0.00000449 kg
Best Validation Accuracy: 78.32 %

