epoch,train_loss,train_accuracy_%,validation_accuracy_%
1,0.978,82.04,87.96
2,0.6167,95.16,70.69
3,0.5583,97.06,71.57
4,0.5362,97.98,80.95
5,0.5119,98.84,86.92
6,0.5192,98.57,93.51
7,0.5114,98.78,80.97
8,0.5008,99.44,92.99
9,0.5051,99.13,89.63
10,0.5013,99.35,91.5
11,0.4962,99.62,91.84
12,0.49,99.8,95.49
13,0.4882,99.92,92.4
14,0.4983,99.47,89.9
15,0.4925,99.7,91.43
16,0.4972,99.48,96.26
17,0.4977,99.51,94.14
18,0.4967,99.51,87.33
19,0.4882,99.89,96.46
20,0.4876,99.88,96.93
21,0.5061,98.98,78.22
22,0.4946,99.59,90.96
23,0.4919,99.65,91.95
24,0.4939,99.59,90.91
25,0.4897,99.8,96.08
26,0.4896,99.79,93.73
27,0.4907,99.79,86.76
28,0.4917,99.73,94.41
29,0.4874,99.89,92.85
30,0.4872,99.86,92.99
31,0.4925,99.7,93.64
32,0.4907,99.8,94.79
33,0.4878,99.91,95.36
34,0.4897,99.82,94.11
35,0.4875,99.89,85.32
36,0.491,99.71,81.38
37,0.4907,99.73,93.75
38,0.4916,99.8,89.92
39,0.4867,99.95,95.11
40,0.4961,99.6,88.91
41,0.4872,99.91,96.19
42,0.4851,100.0,96.69
43,0.485,100.0,96.48
44,0.485,100.0,96.82
45,0.485,100.0,96.51
46,0.485,100.0,95.76
47,0.4872,99.86,94.79
48,0.4873,99.92,92.49
49,0.4967,99.53,88.88
50,0.4877,99.91,96.48

Training CO2: 0.00084246 kg
Testing CO2: 0.00000554 kg
Best Validation Accuracy: 96.93 %

