epoch,train_loss,train_accuracy_%,validation_accuracy_%
1,1.3273,76.68,84.98
2,0.8481,92.81,95.51
3,0.7167,96.65,95.32
4,0.6945,96.75,96.2
5,0.6621,97.94,95.41
6,0.6912,96.79,98.05
7,0.6591,97.91,97.95
8,0.6382,98.4,96.88
9,0.6179,99.14,99.32
10,0.6601,97.52,99.22
11,0.6129,99.34,99.12
12,0.633,98.65,99.22
13,0.6651,97.2,99.51
14,0.6049,99.4,98.24
15,0.6081,99.32,99.71
16,0.594,99.76,99.71
17,0.614,99.15,99.02
18,0.6772,96.79,96.59
19,0.6161,99.15,99.41
20,0.6468,98.31,99.8
21,0.6226,98.84,99.8
22,0.6059,99.39,99.8
23,0.6113,99.08,99.61
24,0.5884,99.86,94.73
25,0.6497,97.67,97.95
26,0.6224,99.02,95.51
27,0.6433,98.22,99.32
28,0.6177,99.22,98.44
29,0.6142,98.83,99.22
30,0.593,99.74,99.71
31,0.6011,99.68,99.51
32,0.6033,99.37,99.71
33,0.6041,99.3,99.8
34,0.5943,99.69,99.61
35,0.5944,99.58,99.8
36,0.5835,99.92,99.41
37,0.5965,99.79,99.71
38,0.636,98.29,99.61
39,0.5862,99.83,99.71
40,0.5817,99.85,99.8
41,0.5813,99.87,99.8
42,0.5751,99.97,99.9
43,0.5787,99.97,99.9
44,0.5967,99.36,99.61
45,0.5921,99.57,98.24
46,0.5913,99.54,99.9
47,0.5929,99.58,99.61
48,0.601,99.3,99.32
49,0.6131,99.05,99.41
50,0.599,99.26,99.8
51,0.5857,99.85,99.8
52,0.5865,99.68,99.8
53,0.5818,99.93,98.93
54,0.6073,98.93,99.61
55,0.6005,99.33,99.51
56,0.5974,99.33,99.71
57,0.5845,99.69,99.71
58,0.5805,99.82,99.71
59,0.5874,99.78,99.61
60,0.5832,99.82,99.51
61,0.6039,99.22,99.32
62,0.5842,99.72,99.71
63,0.5987,99.47,99.9
64,0.5838,99.75,99.8
65,0.5758,99.97,99.8
66,0.5798,99.94,99.8
67,0.6161,98.82,99.71
68,0.615,98.77,97.27
69,0.6434,97.88,99.51
70,0.5937,99.46,98.73
71,0.6058,99.34,99.8
72,0.5926,99.5,99.8
73,0.5969,99.75,99.8
74,0.5898,99.62,99.8
75,0.5837,99.87,99.8
76,0.5917,99.64,99.9
77,0.5818,99.89,99.9
78,0.5959,99.37,99.8
79,0.5816,99.83,100.0
80,0.5809,99.85,99.8
81,0.5778,99.97,99.9
82,0.5873,99.67,99.9
83,0.5761,99.96,99.9
84,0.5766,99.87,100.0
85,0.5743,99.97,100.0
86,0.5843,99.68,99.71
87,0.5833,99.64,99.8
88,0.5828,99.83,99.71
89,0.5855,99.67,98.73
90,0.5812,99.9,99.9
91,0.5875,99.68,100.0
92,0.6274,98.52,99.8
93,0.5981,99.44,99.8
94,0.5995,99.44,99.8
95,0.5897,99.51,99.8
96,0.5778,99.9,99.9
97,0.5817,99.94,99.9
98,0.5793,99.83,99.9
99,0.5803,99.85,97.66
100,0.6399,98.27,99.12
